seq_size,preftab_k,serialized_size,create_time
4639675,0,17978796,379.486
4639675,1,17978896,594.209
4639675,3,17980524,564.926
4639675,5,18008492,576.265
4639675,7,18486669,584.406
4639675,9,26444187,745.75
4639675,11,94868021,1940.74
4639675,13,172280710,3135.51
4639675,15,194165976,3434.9
159345973,0,717056934,26354.7
159345973,1,717057034,38524.4
159345973,3,717058662,39673.4
159345973,5,717086630,39630
159345973,7,717564838,39801.7
159345973,9,725707686,39897
159345973,11,863857574,42457.9
159345973,13,2805910360,93662
159345973,15,6219434139,171665
